x, y, th, stamp, 
0.5000931024551392,-3.8900699615478516,-0.5312389172468693,1738283502859733961,
0.5000931024551392,-3.8900699615478516,-0.5312389172468693,1738283502909908466,
0.5000931024551392,-3.8900699615478516,-0.5312389172468693,1738283502959091009,
0.5000931024551392,-3.8900699615478516,-0.5312389172468693,1738283503009271525,
0.5000931024551392,-3.8900699615478516,-0.5312389172468693,1738283503059221130,
0.5005901455879211,-3.890458106994629,-0.5274571125951394,1738283503119877202,
0.5036851763725281,-3.8918795585632324,-0.5134089577415268,1738283503168027721,
0.5083069801330566,-3.8946046829223633,-0.4941845372855386,1738283503219739542,
0.5127626657485962,-3.8971338272094727,-0.47580400361222586,1738283503259821726,
0.5196706056594849,-3.900132656097412,-0.4483267842298961,1738283503308727985,
0.5277069211006165,-3.904025077819824,-0.4115964290095324,1738283503359788176,
0.5371987819671631,-3.9080069065093994,-0.36745108072591387,1738283503409912820,
0.5507665872573853,-3.912707567214966,-0.3071671289034714,1738283503469276349,
0.5636606812477112,-3.916677713394165,-0.24993833018567505,1738283503519742631,
0.5782812833786011,-3.920067548751831,-0.18885929741982418,1738283503569852662,
0.5933634042739868,-3.922725200653076,-0.12554814697935046,1738283503619843913,
0.6055306792259216,-3.9241557121276855,-0.0744730257265896,1738283503660925627,
0.620360791683197,-3.9249227046966553,-0.01264404941803431,1738283503709729965,
0.635254442691803,-3.9246742725372314,0.04829772294683476,1738283503758749289,
0.6499346494674683,-3.9239890575408936,0.11219452305059263,1738283503810009645,
0.6674980521202087,-3.921717882156372,0.1881819002003658,1738283503869792560,
0.6822053790092468,-3.9183924198150635,0.249371497146282,1738283503918760732,
0.6968061327934265,-3.91481351852417,0.312477707675127,1738283503968740240,
0.7107741832733154,-3.910146951675415,0.37520459050371147,1738283504019732802,
0.7218208909034729,-3.9059245586395264,0.4270800018054703,1738283504060758144,
0.7350859045982361,-3.899327516555786,0.4886202955024218,1738283504108732754,
0.7480686902999878,-3.891965389251709,0.553427809746653,1738283504158826660,
0.7608112692832947,-3.8841941356658936,0.6187030327090933,1738283504209982549,
0.7726156115531921,-3.875495672225952,0.6788080723365822,1738283504259592164,
0.7862253785133362,-3.863792896270752,0.7497655115494634,1738283504318943220,
0.7967738509178162,-3.853666067123413,0.8123269615655634,1738283504369945298,
0.806839108467102,-3.8431389331817627,0.8785236596310644,1738283504419731267,
0.8139956593513489,-3.834134101867676,0.9298090086134471,1738283504459732138,
0.8223636746406555,-3.822147846221924,0.9893247854478212,1738283504508773469,
0.8304797410964966,-3.80947208404541,1.049848190508221,1738283504558726987,
0.8378150463104248,-3.796642780303955,1.1136678372696396,1738283504609955949,
0.8440762758255005,-3.7831835746765137,1.1786482305253327,1738283504660006344,
0.8505628108978271,-3.7663989067077637,1.253556579728112,1738283504718752708,
0.8549004197120667,-3.7523372173309326,1.3145692368877189,1738283504768749538,
0.8586339354515076,-3.7381913661956787,1.3783087292691556,1738283504819774253,
0.8607514500617981,-3.727097988128662,1.4301921131461832,1738283504859747385,
0.8627691268920898,-3.7127389907836914,1.4953185405475091,1738283504909742963,
0.8637911081314087,-3.6978259086608887,1.5582231330899494,1738283504959733657,
0.8636502027511597,-3.6828787326812744,1.620352912624733,1738283505009104717,
0.8627402782440186,-3.667919397354126,1.682763471451871,1738283505059961722,
0.8604059815406799,-3.6502411365509033,1.7587173560595695,1738283505119061680,
0.8573676943778992,-3.635817766189575,1.8207563862677836,1738283505168790572,
0.8534723520278931,-3.6211915016174316,1.885052748260072,1738283505219742733,
0.8497095704078674,-3.6101136207580566,1.9351465747335599,1738283505259746328,
0.8441600203514099,-3.596407651901245,1.9974757408474486,1738283505309785715,
0.8378878831863403,-3.583061933517456,2.0603689904169653,1738283505359731521,
0.8309542536735535,-3.5702829360961914,2.12312491326448,1738283505409956938,
0.8212538957595825,-3.5553529262542725,2.2003080499369396,1738283505470145063,
0.8122475743293762,-3.5436322689056396,2.2627003665687333,1738283505519780584,
0.8025272488594055,-3.532355308532715,2.3243486883913653,1738283505568760220,
0.7920215129852295,-3.5212934017181396,2.387759999893088,1738283505619780789,
0.7836788892745972,-3.5132830142974854,2.4380727528003243,1738283505659729371,
0.7718292474746704,-3.503631591796875,2.501930047020431,1738283505710866932,
0.7600192427635193,-3.495020627975464,2.564047935332381,1738283505759859038,
0.744996190071106,-3.4855849742889404,2.6392903511524812,1738283505819588356,
0.7318166494369507,-3.4784607887268066,2.699888482215547,1738283505870838357,
0.7188823819160461,-3.4724223613739014,2.7587961704368076,1738283505919262185,
0.7053562998771667,-3.4671924114227295,2.8214997648785753,1738283505969991300,
0.6914088726043701,-3.462533473968506,2.8864292836380456,1738283506019755285,
0.679628312587738,-3.4595534801483154,2.9355878841455754,1738283506059784292,
0.6651677489280701,-3.456965684890747,2.9962852109205858,1738283506109761511,
0.6507263779640198,-3.4547934532165527,3.058554406757701,1738283506159825301,
0.6361047625541687,-3.4537415504455566,3.121679306541977,1738283506209180527,
0.6186953783035278,-3.4536941051483154,-3.0848999025379453,1738283506269425561,
0.604305624961853,-3.4547290802001953,-3.023260123724066,1738283506319082685,
0.5897653698921204,-3.456799030303955,-2.9639530169740667,1738283506369783195,
0.575238049030304,-3.459362506866455,-2.903103829398479,1738283506419781311,
0.5641253590583801,-3.462235927581787,-2.8533720984903783,1738283506459781319,
0.5499290227890015,-3.466578483581543,-2.7904736426480223,1738283506509802827,
0.5359336137771606,-3.471872329711914,-2.7280537979971204,1738283506559843900,
0.5227599740028381,-3.4780614376068115,-2.6665417587775417,1738283506609152751,
