x, y, theta, stamp, 
0.0, 0.0, 6.879372953444883e-11, 1740705478726090464, 
0.0, 0.0, 6.989225515385842e-11, 1740705478776078959, 
0.0, 0.0, 7.116768567026565e-11, 1740705478826332175, 
0.0, 0.0, 7.269754041259082e-11, 1740705478926355885, 
0.0, 0.0, 7.1214494790021e-11, 1740705478986253406, 
0.0, 0.0, 7.006732055596359e-11, 1740705479036603691, 
0.0040670293383300304, 0.0002774011518340558, 0.0013508819557725609, 1740705479176074104, 
0.02774694934487343, 0.0008200787706300616, 0.015604933070908532, 1740705479326663533, 
0.037277981638908386, 0.0011618563439697027, 0.021654778048113624, 1740705479366701845, 
0.05095329135656357, 0.0016300230054184794, 0.029509443238520484, 1740705479416112017, 
0.07344884425401688, 0.002646978246048093, 0.0442572304226705, 1740705479486268290, 
0.08647714555263519, 0.003522375365719199, 0.052217740618094644, 1740705479526148908, 
0.10200788825750351, 0.004793111234903336, 0.06202382918789291, 1740705479577110766, 
0.1172514334321022, 0.005893218331038952, 0.07220714459932348, 1740705479626227780, 
0.14674969017505646, 0.008733518421649933, 0.09487579033008649, 1740705479726095632, 
0.17472463846206665, 0.011923951096832752, 0.11781065141090025, 1740705479817893187, 
0.19006961584091187, 0.013983392156660557, 0.133201199950803, 1740705479866356917, 
0.237924262881279, 0.022432319819927216, 0.23410404272571178, 1740705480026645996, 
0.2675919234752655, 0.03039977326989174, 0.273534318909209, 1740705480126720248, 
0.2938869893550873, 0.03868510574102402, 0.3071684438662974, 1740705480217497519, 
0.3254818022251129, 0.04996422678232193, 0.3531854407007699, 1740705480326789905, 
0.3534826636314392, 0.06120824068784714, 0.40891998596432094, 1740705480426490394, 
0.3810333013534546, 0.07403977960348129, 0.4672681102010247, 1740705480526861364, 
0.40989360213279724, 0.08978087455034256, 0.5180897144620232, 1740705480636714115, 
0.4334123730659485, 0.10423990339040756, 0.5584094183898827, 1740705480726320871, 
0.45893293619155884, 0.12131021171808243, 0.5995878398138123, 1740705480826583437, 
0.4831409454345703, 0.1391773372888565, 0.6425447143073583, 1740705480927306369, 
0.5045523643493652, 0.15616728365421295, 0.6787211802135011, 1740705481017046880, 
0.5297430753707886, 0.17841683328151703, 0.7153692734744276, 1740705481126644389, 
0.5525557994842529, 0.1996212601661682, 0.7492789335424598, 1740705481225990082, 
0.5742824673652649, 0.22129419445991516, 0.7763125511326172, 1740705481326842332, 
0.5934553742408752, 0.24090351164340973, 0.8008991222613304, 1740705481417185951, 
0.615822434425354, 0.26611894369125366, 0.8318235720360977, 1740705481526123436, 
0.6360727548599243, 0.2891247570514679, 0.8530665389328692, 1740705481626231148, 
0.6553136110305786, 0.31230229139328003, 0.872733488200007, 1740705481726306019, 
0.6723665595054626, 0.33411121368408203, 0.8960962109736679, 1740705481817189228, 
0.6925191283226013, 0.36095771193504333, 0.9223815697721883, 1740705481926366677, 
0.7104809880256653, 0.3854067027568817, 0.9377956261404017, 1740705482026402490, 
0.727759599685669, 0.40989482402801514, 0.9527310649694457, 1740705482126403833, 
0.7431989312171936, 0.43273162841796875, 0.9753503817606867, 1740705482218020734, 
0.7616611123085022, 0.4610835015773773, 0.9968582918100836, 1740705482326546822, 
0.7777367234230042, 0.48689281940460205, 1.006234070993416, 1740705482426553142, 
0.7937590479850769, 0.512916624546051, 1.0182151805094766, 1740705482526305633, 
0.8076059222221375, 0.5364674925804138, 1.0346161298141843, 1740705482615990048, 
0.8240979313850403, 0.5655956864356995, 1.051695063297035, 1740705482726649288, 
0.8385545611381531, 0.5917717218399048, 1.0593790310004731, 1740705482827640523, 
0.8534562587738037, 0.6184144616127014, 1.0645046899542303, 1740705482926172508, 
0.8663991689682007, 0.6425087451934814, 1.073448179404108, 1740705483016630517, 
0.8819718956947327, 0.6720057725906372, 1.0902158913311517, 1740705483126166696, 
0.895706057548523, 0.6990520358085632, 1.1009315187017095, 1740705483226162118, 
0.9094393253326416, 0.7260498404502869, 1.1014533411244958, 1740705483326156768, 
0.9220709204673767, 0.7509388327598572, 1.1043296976280588, 1740705483416240093, 
0.9365004897117615, 0.7807368040084839, 1.1171782138262094, 1740705483526290319, 
0.9493008852005005, 0.8079698085784912, 1.128423899488721, 1740705483626099448, 
0.9622000455856323, 0.8354180455207825, 1.1356195931333177, 1740705483726159250, 
0.9735369682312012, 0.8598821759223938, 1.1367164139241939, 1740705483816847657, 
0.9872644543647766, 0.8896331787109375, 1.1396963984871298, 1740705483926128313, 
0.9988716244697571, 0.9150710701942444, 1.144192983208149, 1740705484026172914, 
1.0097514390945435, 0.9397079348564148, 1.155198045428787, 1740705484126204820, 
1.0194590091705322, 0.9619240760803223, 1.158742314962417, 1740705484216299912, 
1.031270146369934, 0.9890766143798828, 1.1593300410865255, 1740705484326124707, 
1.04115629196167, 1.011914610862732, 1.1608660578081256, 1740705484426100483, 
1.0508216619491577, 1.0343139171600342, 1.166621466868678, 1740705484526178271, 
1.06130850315094, 1.0595523118972778, 1.1733671796046001, 1740705484636212416, 
1.069831371307373, 1.080003023147583, 1.177906334064014, 1740705484727129041, 
1.0788320302963257, 1.1022447347640991, 1.1785355751829698, 1740705484826105103, 
1.0874887704849243, 1.123498797416687, 1.179030012297053, 1740705484926196115, 
1.0970377922058105, 1.1465295553207397, 1.1827080142755981, 1740705485036130049, 
1.104705810546875, 1.1658178567886353, 1.1844871117261018, 1740705485127154958, 
1.1131179332733154, 1.1865694522857666, 1.187614030065913, 1740705485226108904, 
1.1211198568344116, 1.2070560455322266, 1.1888861496156302, 1740705485327224330, 
1.1280871629714966, 1.2247692346572876, 1.1902661096895375, 1740705485416347332, 
1.1363064050674438, 1.2458224296569824, 1.1951300849569593, 1740705485527142939, 
1.143791913986206, 1.2650961875915527, 1.1969019868592934, 1740705485626110503, 
1.1512600183486938, 1.2842663526535034, 1.1990927141523935, 1740705485726209184, 
1.1591414213180542, 1.3044954538345337, 1.1989156282447175, 1740705485836619753, 
1.1651946306228638, 1.3203760385513306, 1.201177417873305, 1740705485927157436, 
1.1717634201049805, 1.3380014896392822, 1.2006311555088403, 1740705486026113225, 
1.1784000396728516, 1.355096459388733, 1.2041847132657217, 1740705486126119666, 
1.1856852769851685, 1.3739643096923828, 1.2027903543838858, 1740705486236847563, 
1.1916205883026123, 1.3892152309417725, 1.205455582388995, 1740705486327151333, 
1.1978148221969604, 1.4052621126174927, 1.2064095201702179, 1740705486426211819, 
1.2040443420410156, 1.4217909574508667, 1.2083657995529513, 1740705486526215977, 
1.210654377937317, 1.439145803451538, 1.2074775038767136, 1740705486636663529, 
1.2156903743743896, 1.4528018236160278, 1.209306529002293, 1740705486727165118, 
1.2216020822525024, 1.4679100513458252, 1.210424632565258, 1740705486826118584, 
1.2270342111587524, 1.482909917831421, 1.209571712505817, 1740705486926122603, 
1.2332004308700562, 1.4990042448043823, 1.2117302349435775, 1740705487036799105, 
1.2382595539093018, 1.5124412775039673, 1.2117302349435775, 1740705487128237996, 
1.2436962127685547, 1.5269508361816406, 1.213519661585424, 1740705487226122195, 
1.2491272687911987, 1.541157603263855, 1.213940982177014, 1740705487327130176, 
1.254390835762024, 1.5553499460220337, 1.2137663573248008, 1740705487432574576, 
1.258296251296997, 1.5657167434692383, 1.2145371138984395, 1740705487511533544, 
1.263588309288025, 1.5799710750579834, 1.2149211043398986, 1740705487622128316, 
1.2684900760650635, 1.5931141376495361, 1.2165036340960727, 1740705487727131946, 
1.2736256122589111, 1.6067034006118774, 1.2190396248221949, 1740705487836895950, 
1.2776434421539307, 1.6175172328948975, 1.219130008304983, 1740705487928413809, 
1.281955361366272, 1.629492163658142, 1.2216505875627481, 1740705488026130611, 
1.2864313125610352, 1.6416492462158203, 1.2235727496178073, 1740705488127152912, 
1.2909117937088013, 1.6543248891830444, 1.2235727496178073, 1740705488235924541, 
1.294851303100586, 1.6648011207580566, 1.2265779956322729, 1740705488327152730, 
1.299140453338623, 1.6763123273849487, 1.2265779956322729, 1740705488426131716, 
1.3031280040740967, 1.687760829925537, 1.225531056769087, 1740705488527145728, 
1.3070787191390991, 1.699280858039856, 1.2265076686367886, 1740705488636768804, 
1.3104248046875, 1.7085977792739868, 1.2265076686367886, 1740705488727607762, 
1.3142540454864502, 1.719281554222107, 1.2265076686367886, 1740705488827321055, 
1.3178764581680298, 1.7296315431594849, 1.228047127432342, 1740705488927061589, 
1.3209993839263916, 1.7384796142578125, 1.228047127432342, 1740705489015997644, 
1.324807047843933, 1.7492446899414062, 1.228047127432342, 1740705489127716811, 
1.3280127048492432, 1.7589267492294312, 1.228047127432342, 1740705489227165092, 
1.3311035633087158, 1.7682194709777832, 1.2293401564407338, 1740705489323157904, 
1.3348585367202759, 1.7786015272140503, 1.2292048231992545, 1740705489433783999, 
1.337955117225647, 1.7875099182128906, 1.2288387238675555, 1740705489531300253, 
1.3408123254776, 1.7954453229904175, 1.2284205825058923, 1740705489623177928, 
1.3439433574676514, 1.803702473640442, 1.229123130286316, 1740705489723151240, 
1.347192406654358, 1.8131905794143677, 1.2298144864741487, 1740705489832336249, 
1.350161075592041, 1.8215415477752686, 1.2299968856685213, 1740705489931220473, 
1.352555274963379, 1.829002857208252, 1.2289474633408004, 1740705490021148369, 
1.3553564548492432, 1.8370312452316284, 1.2309582852683676, 1740705490122167873, 
1.358742594718933, 1.8457094430923462, 1.2322844899829815, 1740705490231752922, 
1.3615492582321167, 1.853621244430542, 1.2325638789033213, 1740705490331210758, 
1.36395263671875, 1.8612414598464966, 1.2316847950895444, 1740705490426150267, 
1.3666020631790161, 1.8689824342727661, 1.2316847950895444, 1740705490527171896, 
1.3692880868911743, 1.8753516674041748, 1.2334934821018912, 1740705490617601062, 
1.3718411922454834, 1.8830417394638062, 1.233492437196262, 1740705490727288914, 
1.3741796016693115, 1.8901712894439697, 1.2322854737415776, 1740705490826152054, 
1.3768272399902344, 1.8971351385116577, 1.2322854737415776, 1740705490926179944, 
1.379172444343567, 1.9045298099517822, 1.2322854737415776, 1740705491037770490, 
1.381201148033142, 1.9104830026626587, 1.2316403381090775, 1740705491127200101, 
1.3834912776947021, 1.9163696765899658, 1.2310325383537226, 1740705491226158960, 
1.385589599609375, 1.9229358434677124, 1.2310325383537226, 1740705491327220321, 
1.3885241746902466, 1.9300305843353271, 1.2310325383537226, 1740705491436554649, 
1.3902982473373413, 1.9355897903442383, 1.2301649413249753, 1740705491527182401, 
1.3921289443969727, 1.9414921998977661, 1.2301649413249753, 1740705491626163855, 
1.394516944885254, 1.9475904703140259, 1.2313304507899392, 1740705491727230096, 
1.3966299295425415, 1.9539936780929565, 1.2313304507899392, 1740705491837057659, 
1.3985145092010498, 1.959256887435913, 1.2313304507899392, 1740705491927742000, 
1.40033757686615, 1.9650987386703491, 1.2313304507899392, 1740705492026165011, 
1.4024453163146973, 1.9708865880966187, 1.2318233371999923, 1740705492128209533, 
1.403836965560913, 1.9756730794906616, 1.2324435748884972, 1740705492217820421, 
1.4061620235443115, 1.981426477432251, 1.233385110689308, 1740705492327207414, 
1.407777190208435, 1.9866148233413696, 1.233385110689308, 1740705492426168892, 
1.4097683429718018, 1.9917047023773193, 1.233385110689308, 1740705492528237139, 
1.4115819931030273, 1.9972236156463623, 1.233385110689308, 1740705492637293254, 
1.4132344722747803, 2.0014209747314453, 1.2327978489159999, 1740705492727229469, 
1.414816975593567, 2.0062315464019775, 1.2327978489159999, 1740705492827173625, 
1.4163916110992432, 2.0108981132507324, 1.2327978489159999, 1740705492928285080, 
1.4181150197982788, 2.0159335136413574, 1.2327978489159999, 1740705493037649217, 
1.4194862842559814, 2.0198614597320557, 1.2327978489159999, 1740705493127272366, 
1.4211715459823608, 2.0243191719055176, 1.2325396865957243, 1740705493227173676, 
1.4225584268569946, 2.0285239219665527, 1.2334473729114919, 1740705493322269016, 
1.4245266914367676, 2.0333445072174072, 1.232826142796779, 1740705493437898431, 
1.4257704019546509, 2.0371389389038086, 1.230756627123934, 1740705493527239919, 
1.426942229270935, 2.041041851043701, 1.230756627123934, 1740705493627292535, 
1.4284892082214355, 2.0448262691497803, 1.2325090213049794, 1740705493722270718, 
1.4295159578323364, 2.048558473587036, 1.2335496568380824, 1740705493817000508, 
1.4310637712478638, 2.052696943283081, 1.2337668900948673, 1740705493927203844, 
1.4323831796646118, 2.056483745574951, 1.2331746360886322, 1740705494027181662, 
1.4334897994995117, 2.059945821762085, 1.234091274951955, 1740705494122283005, 
1.43485426902771, 2.064166784286499, 1.2345157237487707, 1740705494237336030, 
1.4359606504440308, 2.067436695098877, 1.2348234188512908, 1740705494327225250, 
1.436998724937439, 2.0708937644958496, 1.2350793724987197, 1740705494427185513, 
1.438171148300171, 2.074054479598999, 1.2355893971408307, 1740705494522197376, 
1.439755916595459, 2.0782690048217773, 1.235504219465196, 1740705494637778467, 
1.4405056238174438, 2.0811493396759033, 1.2357219771907515, 1740705494727223681, 
1.4416735172271729, 2.0843513011932373, 1.236781602384853, 1740705494827279879, 
1.4429504871368408, 2.087510108947754, 1.236968476014064, 1740705494923405180, 
1.4437984228134155, 2.0902042388916016, 1.236087410647474, 1740705495017038845, 
1.444847822189331, 2.0935192108154297, 1.2358643464771986, 1740705495127400207, 
1.4460211992263794, 2.0964367389678955, 1.2360106943878204, 1740705495227211102, 
1.446962833404541, 2.09926700592041, 1.2352477030196274, 1740705495323197445, 
1.4481245279312134, 2.102773904800415, 1.2351357112200532, 1740705495437262818, 
1.4490116834640503, 2.1053590774536133, 1.2341285429674889, 1740705495527255363, 
1.4500162601470947, 2.1080501079559326, 1.2341544961946658, 1740705495627193831, 
1.45097815990448, 2.1107609272003174, 1.2348120179720727, 1740705495723201173, 
1.4517287015914917, 2.113434076309204, 1.2352909790662632, 1740705495817332804, 
1.4528086185455322, 2.116391181945801, 1.236094277380999, 1740705495927882818, 
1.453957200050354, 2.11924409866333, 1.2368211982693245, 1740705496027198192, 
1.4548144340515137, 2.1218981742858887, 1.2356488146042863, 1740705496123204855, 
1.4558382034301758, 2.125194549560547, 1.2358208999763394, 1740705496238517770, 
1.456712245941162, 2.12744402885437, 1.2363825895940193, 1740705496327360738, 
1.4579362869262695, 2.1304047107696533, 1.2363865873879112, 1740705496427224857, 
1.458687663078308, 2.1332929134368896, 1.2347337308536805, 1740705496523321079, 
1.459620475769043, 2.13602876663208, 1.2347467926277411, 1740705496617659839, 
1.4608678817749023, 2.139113664627075, 1.2355109993963853, 1740705496727595085, 
1.4619154930114746, 2.1420412063598633, 1.2347145959472043, 1740705496827207320, 
1.4626789093017578, 2.1448183059692383, 1.23476919769641, 1740705496924208867, 
1.4635227918624878, 2.1474101543426514, 1.2340169209347427, 1740705497017408343, 
1.464733600616455, 2.1503825187683105, 1.2346808769956406, 1740705497127403839, 
1.465675950050354, 2.153165340423584, 1.235133025123672, 1740705497227210267, 
1.4664802551269531, 2.155871629714966, 1.2350254499529971, 1740705497324234797, 
