e, e_dot, e_int, stamp, 
0.23255694173374142, -1.578618113081833e-11, 0.023311905744439494, 1740705478.826332, 
0.23255694173221153, -1.3558399597173994e-11, 0.034947942323695025, 1740705478.9263558, 
0.23255694173369434, 3.1535334420284856e-12, 0.03719079239957114, 1740705478.9862535, 
0.23255694173484187, 1.584890383622987e-11, 0.025638892596197317, 1740705479.0366037, 
0.23399408931253474, 0.003434772890676383, 0.044235054456889286, 1740705479.176074, 
0.2428324549345473, 0.022998708370238947, 0.06858788728710868, 1740705479.3266635, 
0.2469545611896251, 0.05388195115073866, 0.04599091903596077, 1740705479.3667018, 
0.3252144503121004, 0.5622787300584159, 0.024300215210167158, 1740705479.416112, 
0.3367462165966639, 0.5827515681628884, 0.03622525421002951, 1740705479.4862683, 
0.3450003336413543, 0.12378106721534887, 0.036934285952928116, 1740705479.5261488, 
0.3558717249861769, 0.14009823927596446, 0.03141993775473845, 1740705479.5771108, 
0.36928405033056055, 0.16213096779322858, 0.03570000541614497, 1740705479.6262279, 
0.4404621198677936, 0.32859712328446883, 0.0578864753070898, 1740705479.7260957, 
0.4613880711103753, 0.313560051323314, 0.08121082057069129, 1740705479.8178933, 
0.4728093135999174, 0.15454112833468592, 0.06427050284986192, 1740705479.8663568, 
0.47419070946180897, 0.08142797611199103, 0.09800165694019423, 1740705480.026646, 
0.48159001642014676, 0.027518774118752132, 0.12398415377097399, 1740705480.1267202, 
0.494355775052572, 0.07152180872186223, 0.09225358658708187, 1740705480.2174976, 
0.4907624034076026, 0.035916246491772275, 0.09781460182293168, 1740705480.3267899, 
0.477732800401121, -0.05452199034646902, 0.10190847725626213, 1740705480.4264903, 
0.4653681976159736, -0.08462549561906009, 0.09562504757658062, 1740705480.5268614, 
0.43054955966837793, -0.14671546450373396, 0.0962579771967884, 1740705480.6367142, 
0.42032618495270313, -0.1436829738490827, 0.08751245593677978, 1740705480.726321, 
0.4147949460844904, -0.05641969967187344, 0.08010401197317953, 1740705480.8265834, 
0.3719339075997983, -0.16023386680690543, 0.08086685268462167, 1740705480.9273064, 
0.3585039558280281, -0.1917290769883142, 0.07270832797875967, 1740705481.017047, 
0.34965732777878866, -0.07679080394449654, 0.07176801227554935, 1740705481.1266444, 
0.3439270092092568, -0.04613327922072923, 0.073275565562568, 1740705481.22599, 
0.30296897492643415, -0.1545999286242872, 0.06650264104503872, 1740705481.3268423, 
0.2961833763145236, -0.16040932255856347, 0.060104292619081005, 1740705481.417186, 
0.2864145570186709, -0.054927467246728666, 0.05882558371461517, 1740705481.5261235, 
0.2873453766298728, -0.026791815074441394, 0.0606191568700205, 1740705481.6262312, 
0.24867188867762158, -0.12571578767463282, 0.05487884217821627, 1740705481.726306, 
0.23800648690344062, -0.16793279128779806, 0.04926869653219863, 1740705481.8171892, 
0.22775603053311588, -0.07041362232510402, 0.047643405795013895, 1740705481.9263666, 
0.22832652502985207, -0.029395044801471263, 0.048404210897617955, 1740705482.0264025, 
0.194898640346445, -0.10952381831419689, 0.043406809013065935, 1740705482.1264038, 
0.18153704161635353, -0.1600388100542919, 0.03862782404716541, 1740705482.2180207, 
0.1716262230649428, -0.07905468824579885, 0.03656358260976209, 1740705482.326547, 
0.1727994487907365, -0.026530158759277677, 0.036560090386179016, 1740705482.4265532, 
0.17258313210555087, 0.003187660552347997, 0.0344256879852758, 1740705482.5263057, 
0.1358742871867702, -0.13715994630409786, 0.03038927069363486, 1740705482.6159902, 
0.12606248274350662, -0.16599271285300277, 0.02901776844803322, 1740705482.7266493, 
0.12505943047534984, -0.03286630210616777, 0.02730264321301536, 1740705482.8276405, 
0.12797614400152746, 0.006556540015316151, 0.025212955024118414, 1740705482.9261725, 
0.12612896841035015, 0.0030604792543509583, 0.023886101561756617, 1740705483.0166304, 
0.09467292433179608, -0.10253172686738264, 0.023251193416928398, 1740705483.1261666, 
0.08847572129462167, -0.11638326446591289, 0.02160114454086135, 1740705483.2261622, 
0.09301666372800144, -0.0055210045710674645, 0.01841010670056419, 1740705483.3261569, 
0.09528976921171761, 0.02354840652458114, 0.01753673046433372, 1740705483.41624, 
0.08803124999342149, -0.013574352313267597, 0.018434813920173838, 1740705483.5262904, 
0.06599803716186425, -0.09556996844703158, 0.01744064545279599, 1740705483.6260993, 
0.06193549255373165, -0.0871182161558997, 0.014388216551363932, 1740705483.7261593, 
0.06364975196817202, -0.007232808458750926, 0.012181389285173745, 1740705483.8168476, 
0.06435850980510915, 0.008462802137646911, 0.012660958191824983, 1740705483.9261284, 
0.06314941611779368, -0.0018666268604979272, 0.013338043350690821, 1740705484.0261729, 
0.05499717207723531, -0.031193994916847743, 0.012171660839186776, 1740705484.1262047, 
0.04489429014832824, -0.06454406721691432, 0.010332824250235241, 1740705484.2163, 
0.0462734180215989, -0.0331927453636322, 0.009740422114127085, 1740705484.3261247, 
0.04646385635574557, 0.004820790726294513, 0.009625060275036493, 1740705484.4261005, 
0.0424925740599833, -0.012592370129093358, 0.009017737713022419, 1740705484.5261784, 
0.037279458844158064, -0.029019735112229546, 0.008841222235456261, 1740705484.6362123, 
0.034136825756920786, -0.027314449824158527, 0.0076300242859205355, 1740705484.727129, 
0.03468185911357491, -0.009686460113220606, 0.006715753865229255, 1740705484.826105, 
0.03551778682656437, 0.004619465018969829, 0.0069233187107391875, 1740705484.926196, 
0.029922232151813333, -0.014182524282617452, 0.0070093640132269765, 1740705485.03613, 
0.02876195279442495, -0.021215360809486817, 0.006310239751927026, 1740705485.127155, 
0.026576468988568358, -0.011610900548039477, 0.0053992404703619365, 1740705485.2261088, 
0.025851265944554225, -0.009752633299802888, 0.00541452327884218, 1740705485.3272243, 
0.025049890025985455, -0.005387942823461813, 0.004913073859131426, 1740705485.4163473, 
0.020824080442581216, -0.015710794865999588, 0.004779736497969094, 1740705485.527143, 
0.019616598941163854, -0.016780456040983188, 0.004579169836660224, 1740705485.6261106, 
0.018068126349879865, -0.009223413585469145, 0.0038823760856090614, 1740705485.7262092, 
0.01897843353614892, -0.002408237895700441, 0.0039760396891144, 1740705485.8366199, 
0.018738336723393534, 0.0018642825224158839, 0.0037366258205547135, 1740705485.9271574, 
0.019436550949692766, 0.0014679735568196978, 0.0036100604240897403, 1740705486.0261133, 
0.016390714204547407, -0.007800195281239847, 0.0036188312769553964, 1740705486.1261196, 
0.018322686041271297, -0.004336160870206526, 0.0038037513726394733, 1740705486.2368476, 
0.01618105214795218, -0.0020893208732009013, 0.003410465535257301, 1740705486.3271513, 
0.01573321025977581, -0.009412259690217674, 0.0031710274555850344, 1740705486.4262118, 
0.014103957520595678, -0.006937581094663412, 0.0030535335225151524, 1740705486.526216, 
0.015461172094485498, -0.001334510862331182, 0.0031777043622749465, 1740705486.6366634, 
0.013763630961164175, -0.00215623795444605, 0.0029022924061303896, 1740705486.7271652, 
0.01334397638435636, -0.007665986593351035, 0.002688290150029737, 1740705486.8261185, 
0.014208797958652042, 0.0014689798860350828, 0.0027400693628529455, 1740705486.9261227, 
0.01771204445925445, 0.013433632314262393, 0.0031788052027437778, 1740705487.0367992, 
0.018055756357811426, 0.011803984459041059, 0.0033670133007858483, 1740705487.128238, 
0.01661963613131956, -0.003637566675474083, 0.0033060504800828338, 1740705487.2261221, 
0.01669356285103074, -0.0046465782532579625, 0.0034056278373091357, 1740705487.32713, 
0.01717606370618796, 0.001769256420334908, 0.003474542832327728, 1740705487.4325745, 
0.01671710067779797, -0.00041226609098418053, 0.003109454292744801, 1740705487.5115335, 
0.016674325624700614, -0.0020664834930580155, 0.003195085617853056, 1740705487.6221282, 
0.015449776653714054, -0.004016246937565163, 0.0035100284363723732, 1740705487.7271318, 
0.013392567555149615, -0.01013469284738768, 0.0032585024959045916, 1740705487.836896, 
0.013601131359335827, -0.005487723175720201, 0.002847700611520726, 1740705487.9284139, 
0.011226852277698374, -0.0073395370016418465, 0.002410884349362017, 1740705488.0261307, 
0.009603180837626013, -0.01345665269056367, 0.0022809395809798125, 1740705488.127153, 
0.009648837092847806, -0.005217553960234784, 0.0021314273209774542, 1740705488.2359245, 
0.007042615771625904, -0.009382804629803678, 0.0017529739849322036, 1740705488.3271527, 
0.00743658246837775, -0.00819595052939215, 0.0015297751463206205, 1740705488.4261317, 
