x, y, theta, stamp, 
0.0, 0.0, -3.4069234029587534e-14, 1740705595372086551, 
4.1244820891961353e-08, -4.823034416290284e-08, 4.768234022698267e-07, 1740705595426046827, 
4.1244820891961353e-08, -4.823034416290284e-08, 4.768246202096313e-07, 1740705595468081365, 
4.1244820891961353e-08, -4.823034416290284e-08, 4.7682418071597416e-07, 1740705595518304517, 
1.0105037517860183e-06, -1.1816379128504195e-06, 1.1682159591812699e-05, 1740705595586652298, 
0.0004838760069105774, 2.9182883736211807e-06, 0.0007769829089785319, 1740705595628268554, 
0.0037935138680040836, 2.047388261416927e-05, 0.006929001806055044, 1740705595678039167, 
0.0090616624802351, 0.000283952773315832, 0.01812488835439875, 1740705595728015182, 
0.016036851331591606, 0.0006800813134759665, 0.03189104125584624, 1740705595776041219, 
0.024504436179995537, 0.0014189521316438913, 0.05064063198195887, 1740705595826202012, 
0.032934729009866714, 0.002500103320926428, 0.06821488189562344, 1740705595868157356, 
0.04507206380367279, 0.003765093395486474, 0.09092242080111998, 1740705595917431578, 
0.0773995891213417, 0.007693345192819834, 0.15577019910793993, 1740705596028185118, 
0.10805680602788925, 0.013194773346185684, 0.21708449649944422, 1740705596128136356, 
0.1375829130411148, 0.020625021308660507, 0.27637129716188596, 1740705596227055238, 
0.1651003360748291, 0.029256245121359825, 0.3306962968912986, 1740705596322557519, 
0.19645564258098602, 0.04118135944008827, 0.39106703781648494, 1740705596432343870, 
0.22407309710979462, 0.05354875698685646, 0.4461342260304262, 1740705596532053373, 
0.24802379310131073, 0.0658600777387619, 0.4921147637746899, 1740705596622059850, 
0.27424556016921997, 0.08121675252914429, 0.5404739733175654, 1740705596721971662, 
0.30252861976623535, 0.09965304285287857, 0.5891528051194476, 1740705596832397181, 
0.32725587487220764, 0.11736305058002472, 0.6168247856945072, 1740705596932314693, 
0.3486905097961426, 0.13353055715560913, 0.6381257123402557, 1740705597022380994, 
0.3749709129333496, 0.154685840010643, 0.6700319556019705, 1740705597132426511, 
0.39853575825691223, 0.1742255687713623, 0.702259163688276, 1740705597232165602, 
0.42079997062683105, 0.19407904148101807, 0.7312338361673977, 1740705597332434081, 
0.44064706563949585, 0.2129860669374466, 0.7559677436745412, 1740705597422732618, 
0.4628327488899231, 0.2342439442873001, 0.7555578888429249, 1740705597522550602, 
0.4870336353778839, 0.25745153427124023, 0.7609761605331489, 1740705597632098421, 
0.5086743235588074, 0.2791866362094879, 0.7827822999369359, 1740705597733039634, 
0.5272048115730286, 0.2984725832939148, 0.8054784015819085, 1740705597822058552, 
0.5493350028991699, 0.32317104935646057, 0.8299930837081196, 1740705597932192067, 
0.5697272419929504, 0.34640464186668396, 0.839838503457872, 1740705598032160235, 
0.5905691385269165, 0.3684275448322296, 0.817575301726693, 1740705598133162937, 
0.6094881296157837, 0.3883402645587921, 0.8058400414407231, 1740705598222460953, 
0.6322387456893921, 0.41337496042251587, 0.8242404692333543, 1740705598332901223, 
0.652395486831665, 0.43579262495040894, 0.8345362814739183, 1740705598433782503, 
0.6731634140014648, 0.4586507976055145, 0.8324928364752275, 1740705598534525859, 
0.6923196315765381, 0.47836148738861084, 0.8051701855621431, 1740705598622448184, 
0.7138233184814453, 0.49920493364334106, 0.7762364882828942, 1740705598722007483, 
0.7377200126647949, 0.522776186466217, 0.7813684121633934, 1740705598832099269, 
0.7588179111480713, 0.5442823767662048, 0.7923507931323391, 1740705598934185408, 
0.7782748341560364, 0.5638326406478882, 0.7917462673703941, 1740705599022200092, 
0.802710771560669, 0.5883234739303589, 0.7779540294452033, 1740705599132337510, 
0.8250246047973633, 0.6086844205856323, 0.7381291859307094, 1740705599232373347, 
0.8475366234779358, 0.628444492816925, 0.717991685824092, 1740705599333818480, 
0.8679201006889343, 0.6469499468803406, 0.7235934217367478, 1740705599422252399, 
0.8930696249008179, 0.6688083410263062, 0.7208762357465406, 1740705599532649715, 
0.9046726822853088, 0.6787144541740417, 0.7134207077271403, 1740705599582089006, 
0.9388110041618347, 0.7059874534606934, 0.6481862834285534, 1740705599728473245, 
0.9618279337882996, 0.7223863005638123, 0.6105015534605404, 1740705599823055388, 
0.9894281625747681, 0.7412132024765015, 0.6046797762889654, 1740705599932350441, 
1.0141609907150269, 0.7583861947059631, 0.5974748554619158, 1740705600032185167, 
1.0368163585662842, 0.7730557918548584, 0.5760050256172786, 1740705600122106486, 
1.0610418319702148, 0.7874422073364258, 0.5313337843735519, 1740705600218534477, 
1.084194540977478, 0.7998364567756653, 0.49156978941082197, 1740705600314694823, 
1.1128829717636108, 0.8148319125175476, 0.4795849518552941, 1740705600427796460, 
1.1373034715652466, 0.8275333642959595, 0.47395409548964285, 1740705600522364709, 
1.1602872610092163, 0.8387158513069153, 0.4529672225914658, 1740705600618364032, 
1.1866326332092285, 0.8503034114837646, 0.406962384958018, 1740705600731702436, 
1.2083171606063843, 0.8590575456619263, 0.3768433495261598, 1740705600826367546, 
1.2305309772491455, 0.8674324750900269, 0.36617828989176704, 1740705600922412060, 
1.2526763677597046, 0.8757578134536743, 0.360711823571822, 1740705601018480386, 
1.2745481729507446, 0.8836524486541748, 0.34337054363950575, 1740705601114224591, 
1.2997355461120605, 0.891637921333313, 0.3099405641832453, 1740705601226123646, 
1.319892406463623, 0.8976480960845947, 0.28527591612097936, 1740705601322583592, 
1.3422441482543945, 0.9039759039878845, 0.2732133353927609, 1740705601419610178, 
1.3667843341827393, 0.9103055596351624, 0.25797574793974876, 1740705601531759357, 
1.386594533920288, 0.9152891635894775, 0.24484458431539347, 1740705601626133020, 
1.406304955482483, 0.9198575615882874, 0.22484180279770566, 1740705601722121053, 
1.4257522821426392, 0.9239470958709717, 0.2088263755535103, 1740705601818229017, 
1.4453096389770508, 0.9280154705047607, 0.19992549909539714, 1740705601914312480, 
1.468385100364685, 0.932415246963501, 0.18800700160666, 1740705602026272569, 
1.4866024255752563, 0.9354562163352966, 0.17665509500709428, 1740705602122220198, 
1.504886507987976, 0.9385755062103271, 0.16408612652223784, 1740705602218241260, 
1.526071548461914, 0.9417265057563782, 0.15414888821303097, 1740705602331469399, 
1.5434151887893677, 0.9443398118019104, 0.14865887810998496, 1740705602426114782, 
1.5609296560287476, 0.9465880990028381, 0.14069271451132917, 1740705602522119270, 
1.577921748161316, 0.9489251971244812, 0.13117099058393655, 1740705602618093077, 
1.5951404571533203, 0.9510226845741272, 0.12031916743643871, 1740705602714333598, 
1.614647626876831, 0.9531707763671875, 0.11125314271552376, 1740705602827146979, 
1.6310248374938965, 0.9549697041511536, 0.1047132876113991, 1740705602923116786, 
1.6470611095428467, 0.9563758373260498, 0.10205015191491074, 1740705603019103921, 
1.6619758605957031, 0.95782071352005, 0.09467700145657397, 1740705603114535731, 
1.6796241998672485, 0.9592400193214417, 0.087400433538826, 1740705603227122215, 
1.6945148706436157, 0.9604641795158386, 0.0799820126262631, 1740705603322072971, 
1.7092798948287964, 0.9615748524665833, 0.07527279460917555, 1740705603418109891, 
1.7236019372940063, 0.9627056121826172, 0.07202884780422937, 1740705603514580573, 
1.7406295537948608, 0.9635118842124939, 0.06559758613317863, 1740705603626155326, 
