e, e_dot, e_int, stamp, 
0.5880023826022689, 0.0, 0.05883579006028378, 1740701578.5487072, 
0.5838858703783814, -0.02641016111322926, 0.05981959960648455, 1740701578.6006634, 
0.5793236330273883, -0.06679887500963179, 0.05230806159393361, 1740701578.6383162, 
0.5680708296614383, -0.09346484732005896, 0.06251282327039656, 1740701578.708987, 
0.557979259879184, -0.11776071503646063, 0.06973547432520975, 1740701578.7609909, 
0.5477592897577823, -0.15511035919117547, 0.05003435077623277, 1740701578.7986646, 
0.5342250444093359, -0.1806657786150815, 0.04792357974604287, 1740701578.848658, 
0.5183169086708137, -0.19632420808201548, 0.053332382292027344, 1740701578.898644, 
0.4993350413981785, -0.2324186818203643, 0.051765187552778015, 1740701578.9487276, 
0.4798660294500836, -0.25127075498884094, 0.05092932557330502, 1740701579.0006714, 
0.4653265394731507, -0.25185633285945536, 0.04339807444889875, 1740701579.0388567, 
0.4395595825999976, -0.24927141506982445, 0.05002868345787046, 1740701579.1090562, 
0.4088684133246234, -0.23509935083870673, 0.07047685646103695, 1740701579.1997929, 
0.389691389440058, -0.2407213441279196, 0.05806257719874244, 1740701579.2497435, 
0.3364055152089249, -0.24623677873540462, 0.07571745161404451, 1740701579.3999333, 
0.3077564161092612, -0.224171231754818, 0.08283222984308504, 1740701579.4901032, 
0.2733458444263701, -0.21059755260562144, 0.06108570454826839, 1740701579.5996668, 
0.25805917033093273, -0.20656500774111683, 0.04463814867784736, 1740701579.6496844, 
0.21469321513748074, -0.20149099061034118, 0.04852832391618627, 1740701579.7947953, 
0.1830666528133369, -0.19184708139790485, 0.05670918880701878, 1740701579.9090967, 
0.15941948135628925, -0.17923357142124843, 0.03805561663231017, 1740701579.9996967, 
0.14604427325701774, -0.17802743275533753, 0.02272964989778568, 1740701580.0486765, 
0.11425703353120964, -0.16359385370635082, 0.027280432713036578, 1740701580.1946867, 
0.0951651808954459, -0.12838228163001256, 0.030810818044310708, 1740701580.308708, 
0.08067648648474846, -0.10891043085695307, 0.019821397847262046, 1740701580.3996658, 
0.06403953157617348, -0.10911393242012872, 0.015189033078975475, 1740701580.4986649, 
0.05305834422780498, -0.09409553352188177, 0.012863711995926463, 1740701580.5947928, 
0.04195517509005198, -0.07772030158534471, 0.01004632675626616, 1740701580.688155, 
0.0318849055003505, -0.06971630463074836, 0.008670432798988508, 1740701580.79977, 
0.02795560717987744, -0.056850179656661615, 0.005447127054701596, 1740701580.8486862, 
0.01906889120363564, -0.04705479410213021, 0.005128853981491338, 1740701580.9947603, 
0.015026065040683712, -0.03460720449286748, 0.004966673163499012, 1740701581.0888133, 
0.010941335504640826, -0.03498024160387206, 0.002401669710714349, 1740701581.1547427, 
0.007296377086856598, -0.03357482742785973, 0.0017734948613513553, 1740701581.2487617, 
0.003335178621737267, -0.021903966445766976, 0.001733290979920436, 1740701581.39578, 
0.00207591939413021, -0.012664447806673635, 0.001105468366486757, 1740701581.5097423, 
0.0002075900704259226, -0.010604507440614391, 0.00038196336991622144, 1740701581.5997226, 
-0.0005721913904861431, -0.012223805840721904, 7.929083973730285e-05, 1740701581.6487417, 
-0.0030901466088852914, -0.013606090698287861, -0.0001728512845159186, 1740701581.7498217, 
-0.004804056861685169, -0.01243034595512985, -0.000675947037447719, 1740701581.8882582, 
-0.006441480687669809, -0.009024122812035533, -0.001194102490764651, 1740701581.999709, 
-0.0050904191020064715, 0.004279054529632151, -0.0008741280393022364, 1740701582.0487866, 
-0.00497188547949623, 0.009567008076369694, -0.0008263979346765987, 1740701582.1499288, 
-0.005901111173438611, -0.0015537423917730449, -0.0013858486883820454, 1740701582.3092287, 
-0.005011809439845916, 0.0013315812932021916, -0.0013226076506725676, 1740701582.3997161, 
-0.005362342196824521, 0.0009526063865170426, -0.0007637338018154054, 1740701582.450007, 
-0.004438589961500483, -0.00021157383322730044, -0.0009682563231645985, 1740701582.5958154, 
-0.004673915851615806, 0.0014222333361531413, -0.0012523874293474872, 1740701582.7095718, 
-0.004707867472915517, -0.0008148678860063066, -0.0009401176067967945, 1740701582.7998874, 
-0.004247589920472805, 0.0030156058927416096, -0.0006322357815640882, 1740701582.848735, 
-0.0056506805128391235, -3.9122831808064786e-05, -0.0009538799030536332, 1740701582.995808, 
-0.0046138767780372625, 0.0005377978451041107, -0.0011611193847946041, 1740701583.0887656, 
-0.006179457933295662, -0.0009845998571558913, -0.001117833196339887, 1740701583.199742, 
-0.006165431777040542, -0.004608856812995927, -0.0009097797326730917, 1740701583.2497053, 
-0.005270416523131427, 0.0021353064837923326, -0.0011513569372512064, 1740701583.3958256, 
-0.006202234854347122, -0.0013177411796312132, -0.0014026820148412165, 1740701583.4882824, 
-0.0057308824102757505, -0.0019496662230468562, -0.0011692848413373759, 1740701583.5997288, 
-0.005559618793145038, 0.002551091269844452, -0.0009414993287383858, 1740701583.6497495, 
-0.005674098709684827, 0.0008818651574611043, -0.001114670533634479, 1740701583.796846, 
-0.005876365904903924, -0.000987582418030405, -0.001367033651632299, 1740701583.8894386, 
-0.006238437257373608, -0.0018223762197097204, -0.0012030714386066566, 1740701583.9997373, 
-0.006565974434563859, -0.003278585661594847, -0.0009980552084075452, 1740701584.049719, 
-0.005855856324318953, -0.0005755299064051202, -0.0012260435760668065, 1740701584.1968474, 
-0.005638058826435088, 0.0033244740290677053, -0.00114044945931194, 1740701584.2391636, 
-0.006056638478128651, 0.0008468253652102947, -0.001187070194753958, 1740701584.399759, 
-0.005763179058255297, 0.0001096603833546381, -0.0015163195053884528, 1740701584.4997315, 
-0.006023243184728688, 8.622729289975413e-05, -0.0011724673475013911, 1740701584.596889, 
-0.006152111638060731, -0.0012850015518530813, -0.0012349336801526258, 1740701584.706259, 
-0.005754775580303573, 0.001021874826825182, -0.0012132423275156784, 1740701584.799884, 
-0.00705147812925766, -0.0029099214099156923, -0.0012232815157795836, 1740701584.899833, 
-0.006256800500672455, -0.0015915961547301738, -0.0012510060825557728, 1740701584.996758, 
-0.007227098088936845, -0.00020966445904276794, -0.0014158325555726661, 1740701585.1066709, 
-0.00800891579187768, -0.005741952754974556, -0.0014544102666978148, 1740701585.1997669, 
-0.006793292564873266, 0.005309573176519644, -0.0010505527606509758, 1740701585.2497375, 
-0.007426625113483354, 0.006672989938530479, -0.0014596411675296755, 1740701585.3967597, 
-0.007607794541862667, -0.002086690494271455, -0.0017448954042293618, 1740701585.4895558, 
-0.006042060090963197, 0.00408371297223414, -0.0014264009639807387, 1740701585.599792, 
-0.0061092430287610355, 0.00451058826426655, -0.001384806328577072, 1740701585.6998093, 
-0.006101865047635435, -0.0001982750109382795, -0.0011923961689140913, 1740701585.7957683, 
